filename,company
BRSR_533278_07082026160333.pdf,Coal India
BRSR_544289_05082026171738.pdf,NTPC Green Energy
BRSR_541450_05082026135228.pdf,Adani Green Energy
BRSR_532555_04082026181321.pdf,NTPC
ULTRACEMCO1_24072026121558_BRSR_2026_SE_Intimation.pdf,UltraTech Cement
jessydenny_03072026114700_BRSR_REPORT_FY_2025-26.pdf,JSW Steel
BRSR_500875_26062026170708.pdf,ITC
BRSR_500820_12062026171703.pdf,Asian Paints
BRSR_500696_02062026222452.pdf,Hindustan Unilever
BRSR_500325_28052026144009.pdf,Reliance Industries
BRSR_500470_03062026200558.pdf,Tata Steel
BRSR_533096_30052026153109.pdf,Adani Power
BRSR_500400_10062026205841.pdf,Tata Power
